job_id,job_title,company_name,seniority_level,min_salary,max_salary,city,state,zipcode,presence,scraping_id
75a64926d6c151cf,GCP Data Engineer,Chabez Tech,,,,Sunnyvale,CA,,,2
08edefb8005c9e6e,Data Engineer,DATAMAXIS,,,,,CA,,remote,2
174a95e1f89b1d1e,Azure Data Engineer,TekValue IT Solutions,,65,70,Framingham,MA,01701,,2
6ab6c051c903c910,Senior Data Engineer,Short Story,senior,,,Remote,,,remote,2
34252074bf833a5b,Senior Data Engineer,Brightcove,senior,,,Remote,,,remote,2
ae04c630394ce165,Data Engineer,MasterClass,sr.,,,San Francisco,CA,,,2
bd4d901f52326a67,Data Engineer,Armor Defense Inc,,,,Plano,TX,75024,,2
8983c1f68cd5270a,Senior Data Engineer,EOS,senior,,,Pittsburgh,PA,,,2
8ed280c911713ddd,Data Engineer,Spirit Airlines,,,,Miramar,FL,33025,,2
1a297725bf328845,DATA ENGINEER,InfoSync Services,,,,Remote,Wichita,KS 67208,remote,2
6f2cf892610cf1cc,Data Engineer,Enin Systems,,50,55,Pine Bluff,AR,71601,,2
1acb3b32bfd007e9,Data Engineer (SSIS),Newbold Advisors,,,,Remote,Cincinnati,OH 45202,remote,2
b925b404aed1f6eb,Data Engineer,Fortegra,senior,,,Jacksonville,FL,32256,in-person,3
d116fa5d2f8e8779,Data Engineer,BCMC,senior,,,,,,remote,3
4b036286bbbdf0ff,Data Engineer,WoodmenLife,I,74668,129603,Omaha,NE,68102,remote,3
fa6b567464258d71,Data Engineer,Betenbough Business Services,,,,Lubbock,TX,79424,,3
036d03fdba648b9a,Data Engineer,Roots Management Group,,,120000,Addison,TX,75001,hybrid,3
79892a3991f1aafb,Data Engineer IV,RevaComm,IV,124100,156500,,,,remote,3
8e12f69ecb718633,Data Engineer,SynergenX,,,,Tomball,TX,77377,in-person,3
322e1a05bdd50c22,Data Engineer,Metova,,,,,,,remote,3
1342e15bb9394af4,Data Engineer,Vestis,,95000,115000,Burbank,CA,91502,remote,3
d7d552f3aff24e9e,Junior Data Engineer,goop,junior,,,Santa Monica,CA,,,3
c5469582f210de5e,Data Engineer,TekValue IT Solutions,,,,Miami,FL,,,3
361622007d312a63,Data Engineer,Bridge Core (BCore),,,,McLean,VA,,,3
40439d2ef908d0cd,Big Data Engineer,Siri info solution,,,,,,,remote,3
d38a8d087a398a73,SAS Data Engineer,Presbyterian Healthcare Services,,,69.72,Albuquerque,NM,87113,remote,3
9cad047e00061db7,Data Engineer III,American Express Global Business Travel,III,,,Bellevue,WA,,,3
2fadcdc63288ed48,Data Engineer,Signify Health,III,92300,160800,,,,remote,4
37f70c2877ecb8bd,Big Data Engineer,Zodiac Solutions,,,,,,,remote,4
8aaeacc200f69ca7,Data Engineer,National Funding,,101000,151000,San Diego,CA,92121,in-person,4
94c7a03ce694aa60,SQL Server Database Engineer,ValueTEK Inc,,,,,,,remote,4
a915c92ffb13dad4,Data Engineer,Centurion Consulting Group,,,,Baltimore,MD,,,4
3d8af168cc7f1e53,Data Engineer,Changeis,,,,,,,remote,4
c4c8bb98c144ca30,Data Engineer,JMark Services Inc.,,,,Honolulu,HI,,,4
7e4a46838d910864,Data Engineer,IGS Solutions LLC,I,,,Los Angeles,CA,90058,,4
4e01adac0c90375f,Data Engineer,Mott MacDonald,,,,Houston,TX,,,4
808fe2886c08e6b8,Big Data/Machine Learning Software Engineer,Nova Ltd.,,,,Fremont,CA,94538,,4
b90bdbea31869fbc,Data Engineer,Principal Financial Group,II,63750,147600,Des Moines,IA,50392,hybrid,4
b56d9f63510cfeaa,Sr. Data Engineer - Artificial Intelligence,"The Travelers Companies, Inc.",,138100,227800,Hartford,CT,,hybrid,4
f51793760105696f,Snowflake Data Engineer,Volto Consulting,,,,,,,remote,4
2ebbd9765914a76a,Data Engineer,Codeignitors inc,,,,Virginia,VA,Unknown,Unknown,5
